===== batch learning =====
[001] error:3.000000, param:[-33.497331 -30.917077], count: 1
[002] error:3.000000, param:[-15.192715 38.387162], count: 1
[003] error:3.000000, param:[23.437551 25.604218], count: 1
[004] error:3.000000, param:[15.082827 2.135936], count: 1
[005] error:3.000000, param:[30.236992 3.192704], count: 1
[006] error:3.000000, param:[-47.320061 44.613299], count: 1
[007] error:2.999998, param:[-10.071095 29.037054], count: 1
[008] error:3.000000, param:[-1.365390 38.628180], count: 1
[009] error:3.000000, param:[28.345730 -19.115207], count: 1
[010] error:2.999646, param:[-18.681727 36.254670], count: 437
[011] error:0.734925, param:[10.851368 -16.004881], count: 2833
[012] error:3.000000, param:[48.206623 -16.473812], count: 1
[013] error:3.000000, param:[29.830505 -15.525303], count: 1
[014] error:3.000000, param:[42.695584 41.960749], count: 1
[015] error:3.000000, param:[-7.691622 38.880824], count: 1
[016] error:3.000000, param:[-26.696091 -34.419566], count: 1
[017] error:3.000000, param:[4.243964 -37.996207], count: 1
[018] error:2.999999, param:[-2.008471 -12.497798], count: 1
[019] error:3.000000, param:[-13.938130 4.609757], count: 1
[020] error:3.000000, param:[48.168272 35.398295], count: 1
[021] error:3.000000, param:[20.567023 8.626634], count: 1
[022] error:3.000000, param:[-34.303034 -11.262141], count: 1
[023] error:3.000000, param:[23.980265 16.444236], count: 1
[024] error:3.000000, param:[-31.349793 -7.062193], count: 1
[025] error:3.000000, param:[-33.494407 3.998866], count: 1
[026] error:3.000000, param:[-43.811289 -12.165053], count: 1
[027] error:3.000000, param:[-47.659267 -30.673467], count: 1
[028] error:3.000000, param:[-11.587157 -36.374118], count: 1
[029] error:0.734927, param:[11.108954 -16.386632], count: 7531
[030] error:3.000000, param:[-45.057585 -49.320650], count: 1
[031] error:0.734926, param:[10.851280 -16.004750], count: 9341
[032] error:3.000000, param:[2.256923 -24.779858], count: 1
[033] error:3.000000, param:[43.331935 9.755332], count: 1
[034] error:0.734926, param:[10.851290 -16.004765], count: 2394
[035] error:3.000000, param:[26.621733 -11.329867], count: 1
[036] error:3.000000, param:[15.911844 44.657879], count: 1
[037] error:3.000000, param:[-20.282110 -6.691690], count: 1
[038] error:3.000000, param:[27.242520 -3.508518], count: 1
[039] error:3.000000, param:[-14.962761 -24.134729], count: 1
[040] error:3.000000, param:[-46.904417 -43.448915], count: 1
[041] error:0.734926, param:[10.851300 -16.004779], count: 2895
[042] error:3.000000, param:[-2.260438 -13.300678], count: 1
[043] error:3.000000, param:[-12.770278 -47.088491], count: 1
[044] error:0.734926, param:[10.851278 -16.004747], count: 889
[045] error:3.000000, param:[40.613212 -13.457780], count: 1
[046] error:3.000000, param:[-35.524538 16.337230], count: 1
[047] error:3.000000, param:[30.723308 -13.240044], count: 1
[048] error:3.000000, param:[16.262813 1.795065], count: 1
[049] error:2.999998, param:[8.021614 4.572788], count: 1
[050] error:3.000000, param:[-27.160095 -15.030246], count: 1
[051] error:3.000096, param:[-35.122518 37.935410], count: 1062
[052] error:3.000000, param:[-24.230561 -43.467752], count: 1
[053] error:3.000000, param:[-49.076069 19.238530], count: 1
[054] error:2.999813, param:[5.446542 3.209145], count: 1
[055] error:3.000000, param:[-1.632143 -27.342400], count: 1
[056] error:3.000000, param:[46.744860 8.539263], count: 1
[057] error:3.000000, param:[-41.949148 -8.022079], count: 1
[058] error:3.000000, param:[45.868690 39.657046], count: 1
[059] error:0.734927, param:[11.109001 -16.386701], count: 6782
[060] error:3.000000, param:[-22.770020 -24.233248], count: 1
[061] error:3.000000, param:[41.607442 29.657877], count: 1
[062] error:3.000000, param:[-33.483809 -14.728948], count: 1
[063] error:0.734927, param:[11.109055 -16.386782], count: 1995
[064] error:3.000000, param:[32.951137 33.702291], count: 1
[065] error:3.000000, param:[-15.140731 4.375858], count: 1
[066] error:3.000000, param:[8.565313 41.125759], count: 1
[067] error:2.999987, param:[20.340651 -47.279515], count: 1
[068] error:3.000000, param:[29.739765 23.465429], count: 1
[069] error:3.000000, param:[-6.382586 -6.527283], count: 1
[070] error:3.000000, param:[-7.111086 -31.418202], count: 1
[071] error:3.000000, param:[-5.830053 31.696210], count: 1
[072] error:3.000000, param:[-7.441944 49.415027], count: 1
[073] error:2.999999, param:[40.624166 -34.896495], count: 1
[074] error:3.000000, param:[-46.033938 -1.006012], count: 1
