===== batch learning =====
[001] error:3.000000, param:[44.592913 30.788162], count: 1
[002] error:3.000000, param:[21.944928 39.897685], count: 1
[003] error:2.999986, param:[-2.768596 -8.600772], count: 1
[004] error:3.000000, param:[-30.322316 -41.751617], count: 1
[005] error:3.000000, param:[39.150314 -21.943936], count: 1
[006] error:2.999994, param:[47.442659 -44.843206], count: 1
[007] error:3.000000, param:[-26.855114 -27.097994], count: 1
[008] error:3.000000, param:[-4.634156 -40.037787], count: 1
[009] error:3.000000, param:[-27.408970 -0.763242], count: 1
[010] count is over 100000. give up.
[011] error:3.000000, param:[9.814493 9.149618], count: 1
[012] error:3.000000, param:[23.689626 36.769430], count: 1
[013] error:3.000000, param:[8.787468 46.399672], count: 1
[014] error:3.000000, param:[-38.067493 11.908905], count: 1
[015] error:2.999907, param:[2.999660 -15.928600], count: 1
[016] error:3.000000, param:[47.883919 31.532674], count: 1
[017] error:3.000000, param:[45.012772 38.041645], count: 1
[018] error:2.999998, param:[-12.203559 32.405470], count: 1
[019] error:3.000398, param:[-34.005358 37.290855], count: 4328
[020] error:0.735498, param:[10.464023 -15.431099], count: 22025
[021] error:3.000000, param:[43.632906 -14.123163], count: 1
[022] error:3.000000, param:[-25.886730 -34.313109], count: 1
[023] error:3.000000, param:[41.319625 17.932057], count: 1
[024] error:3.000000, param:[-39.942251 -41.512379], count: 1
[025] error:3.000000, param:[-12.201216 -22.663030], count: 1
[026] error:0.735864, param:[10.331411 -15.234903], count: 31951
[027] error:3.000000, param:[-42.521583 -1.144782], count: 1
[028] error:2.999893, param:[35.603460 -33.395632], count: 1
[029] error:0.736403, param:[11.844151 -17.475571], count: 49197
[030] error:3.000000, param:[-31.685697 -21.387609], count: 1
[031] error:3.000000, param:[-45.040806 -46.727604], count: 1
[032] error:3.000000, param:[-6.932209 40.969960], count: 1
[033] error:3.000000, param:[8.558936 -43.984954], count: 1
[034] error:3.000000, param:[4.520982 22.296692], count: 1
[035] error:2.999476, param:[0.389307 8.821360], count: 1
[036] error:2.999746, param:[4.219685 4.488376], count: 1
[037] error:0.736396, param:[10.180263 -15.010899], count: 57534
[038] error:3.000000, param:[36.211999 9.398586], count: 1
[039] error:3.000000, param:[-41.003293 -0.294301], count: 1
[040] count is over 100000. give up.
[041] error:3.000000, param:[44.193099 32.176696], count: 1
[042] error:3.000000, param:[-5.989835 -45.633108], count: 1
[043] error:3.000000, param:[-32.309689 11.183021], count: 1
