===== batch learning =====
[001] error:3.000000, param:[45.993559 -6.187429], count: 1
[002] error:3.000000, param:[-32.211982 16.058598], count: 1
[003] error:0.735228, param:[10.592210 -15.620814], count: 17823
[004] error:3.000000, param:[-3.855638 -30.747157], count: 1
[005] error:2.999904, param:[-12.351324 7.663482], count: 1
[006] error:0.735287, param:[11.412156 -16.836011], count: 67385
[007] error:3.000000, param:[35.157284 -12.692918], count: 1
[008] error:3.000000, param:[-26.760404 2.810410], count: 1
[009] error:3.000000, param:[-28.536602 -1.548225], count: 1
[010] error:3.000000, param:[-12.199437 -11.631365], count: 1
[011] error:3.000000, param:[41.013252 -18.428284], count: 1
[012] error:3.000000, param:[35.619775 19.223148], count: 1
[013] error:3.000000, param:[-5.519392 -17.096530], count: 1
[014] error:3.000000, param:[22.092909 49.353212], count: 1
[015] error:3.000000, param:[-11.752403 -47.773608], count: 1
[016] error:3.000000, param:[-42.425729 -2.119491], count: 1
[017] error:3.000000, param:[39.101359 -13.117567], count: 1
[018] error:0.735286, param:[11.412108 -16.835940], count: 34014
[019] error:3.000000, param:[31.256820 -13.335293], count: 1
[020] error:3.000000, param:[-0.591397 -26.213856], count: 1
[021] error:3.000266, param:[-26.822745 28.623099], count: 3272
[022] error:3.000000, param:[5.276473 -35.868496], count: 1
[023] error:0.735287, param:[11.412115 -16.835951], count: 46372
[024] error:3.000000, param:[25.222628 10.101113], count: 1
[025] error:3.000000, param:[40.622856 -15.608667], count: 1
[026] error:3.000000, param:[-8.580002 -42.484156], count: 1
[027] error:2.999998, param:[20.180981 -49.083877], count: 1
[028] error:3.000000, param:[-47.110619 43.397444], count: 1
[029] error:3.000000, param:[6.102827 17.098677], count: 1
[030] error:2.999906, param:[2.998691 7.076596], count: 1
[031] error:3.000000, param:[-8.449105 -44.972017], count: 1
[032] error:3.000000, param:[3.704537 45.064659], count: 1
[033] error:3.000323, param:[-39.221306 43.425394], count: 5028
[034] error:3.000000, param:[-33.706398 25.998896], count: 1
[035] error:3.000000, param:[8.227571 -42.090055], count: 1
[036] error:3.000000, param:[-42.933867 -1.052841], count: 1
[037] error:3.000000, param:[16.479179 14.798225], count: 1
[038] error:3.000000, param:[-47.151345 10.395069], count: 1
[039] error:3.000000, param:[32.837544 32.889829], count: 1
[040] error:3.000000, param:[-22.306384 -1.234967], count: 1
[041] error:2.999999, param:[-28.055678 25.824000], count: 1
[042] error:3.000000, param:[7.761035 43.999607], count: 1
[043] error:3.000000, param:[43.867829 -14.097422], count: 1
[044] error:2.999957, param:[20.352408 -46.109696], count: 1
[045] error:0.735287, param:[11.412142 -16.835991], count: 20999
[046] error:3.000000, param:[-35.028511 -27.999479], count: 1
[047] error:3.000000, param:[34.532295 28.954489], count: 1
[048] error:0.735287, param:[11.412149 -16.836000], count: 11114
[049] error:3.000000, param:[48.732852 30.629295], count: 1
[050] error:3.000324, param:[-40.436200 44.882523], count: 3311
[051] error:3.000000, param:[-20.643248 3.905189], count: 1
[052] error:3.000000, param:[42.557876 22.063648], count: 1
[053] error:3.000000, param:[33.883812 -10.016140], count: 1
[054] error:3.000000, param:[24.888420 45.603921], count: 1
[055] error:0.735287, param:[11.412125 -16.835966], count: 36349
[056] error:3.000000, param:[-21.696756 -41.812022], count: 1
[057] error:3.000000, param:[-43.918235 32.628177], count: 1
[058] error:3.000000, param:[-38.468605 -35.688150], count: 1
[059] error:3.000000, param:[0.014556 -37.234258], count: 1
[060] error:3.000000, param:[33.070764 5.725046], count: 1
[061] error:3.000000, param:[25.928189 3.502485], count: 1
[062] error:3.000000, param:[18.434206 14.833382], count: 1
[063] error:0.735286, param:[11.412108 -16.835941], count: 66584
[064] error:3.000000, param:[-24.180286 -0.245940], count: 1
[065] error:3.000000, param:[37.051461 27.436767], count: 1
[066] error:3.000084, param:[-22.839436 43.557425], count: 2276
[067] error:3.000000, param:[-41.353567 -2.823832], count: 1
[068] error:3.000000, param:[29.345005 -13.792249], count: 1
[069] error:3.000000, param:[22.394878 8.368363], count: 1
[070] error:3.000317, param:[-34.950921 38.307499], count: 3442
[071] error:3.000000, param:[46.525019 -28.747669], count: 1
[072] error:3.000000, param:[-5.209364 -18.772202], count: 1
[073] error:3.000000, param:[-6.611128 40.595410], count: 1
[074] error:2.999953, param:[-20.961554 42.493911], count: 1
[075] error:3.000000, param:[-13.505555 -25.613216], count: 1
[076] error:3.000000, param:[47.538335 40.079251], count: 1
[077] error:2.999986, param:[23.765711 -16.987350], count: 1
[078] error:3.000000, param:[-8.511305 36.347435], count: 1
[079] error:0.735287, param:[11.412151 -16.836004], count: 23471
[080] error:3.000000, param:[-34.957961 -9.097797], count: 1
[081] error:3.000000, param:[20.795362 12.856433], count: 1
[082] error:3.000283, param:[-28.239583 30.300224], count: 3231
[083] error:0.735287, param:[11.412130 -16.835973], count: 25559
[084] error:3.000000, param:[-13.398259 2.938457], count: 1
[085] error:3.000000, param:[-4.254534 22.308033], count: 1
[086] error:3.000000, param:[-8.943375 -12.666093], count: 1
[087] error:3.000000, param:[-5.619039 39.763603], count: 1
[088] error:3.000000, param:[-46.335909 27.068654], count: 1
[089] error:3.000000, param:[-9.142797 -28.103395], count: 1
[090] error:2.999869, param:[45.332506 -45.349095], count: 1
[091] error:3.000000, param:[25.148308 21.519743], count: 1
